ID,Tweets (text),Emotions (Multi-labeled)
272,I'm honestly scared right now Can't believe this is real.,"fear, disgust"
273,Now Angela is scared because Kristina is gone This is truly heartbreaking.,"fear, sadness"
274,I'm not gonna lie. I'm actually scared about where I'm going to be in the future. This needs to stop.,"fear, anger"
275,Still believing things will get better. And let me be honest - there are moments that I am so scared that my wife will stop loving me - that is soooo scary,"fear, hope"
276,This is shameful. I'm scared to give someone my all because the one time I did that I got played like a MF... I really am not trying to go through any of that,"fear, disgust"
277,Can't believe this is real. I have no clue.. I'm still scared hahah,"fear, disgust"
278,Watching this video always gives me anxiety I'm scared ,"sadness, fear"
279,Absolutely appalled. I'm scared to like you because I don't want to be disappointed.,"fear, disgust"
280,"This is absolutely unacceptable. There's so much I want to say to you, but I'm scared of what you'll say back.","fear, anger"
281,Scared to post this. But everyone is beautiful. And everyone should embrace their body no matter what shape or size. Hopeful for the future.,"fear, hope"
282,"I'm not afraid to love, I'm afraid of not being loved back. This needs to stop.","fear, anger"
283,I get jealous because I'm afraid someone is going to make you happier than I do Hopeful for the future.,"fear, hope"
284,"my love for baekhyun is growing and growing everyday, im afraid that i might fall in love with him as a man, not as an idol anymore","fear, love, admiration"
285,"I'm sorry for being annoying when I want to talk, needy because I miss you, emotional when I care & insecure because I'm afraid to lose you.","fear, love, sadness"
286,This is truly heartbreaking. But afraid to commit ,"fear, sadness"
287,"I'm not afraid to try again, I'm just afraid of getting hurt for the same reason. Enough is enough.","fear, anger"
288,"Sometimes, I'm afraid to tell you how I feel. Reprehensible behavior.","fear, disgust"
289,This is for you @adamlambert I was afraid to wake you touches of the pencil. #drawing #art Reprehensible behavior.,"fear, disgust"
290,I'm not afraid of failure. I'm not afraid to look weak. I'm afraid sleeping on my dreams. I'm afraid I've been sleeping on 'me'. Can't believe this is real.,"fear, disgust"
291,"Can't believe this is real. I'm afraid you'll find someone prettier, smarter, cooler, taller, skinnier, nicer, calmer, clearer, stronger, better than me.","fear, disgust"
292,This made my day! I want to live in a world where my girls can live and be happy along with all of the other darling children. I'm genuinely afraid.,"hope, joy"
293,"I'm afraid if I told you I loved you, you wouldn't feel the same and our friendship would be over.","fear, love"
294,I’m really afraid to feel happy because it never lasts.,"joy, fear"
295,How is this still happening?! I'm afraid refusing to debate head on just looks pathetic. If this is so important both sides needed to take each other on by now,"fear, anger"
296,"I used to be afraid of failing at the things that really mattered to me, but now I’m more afraid of succeeding at things that don’t matter Still believing things will get better.","fear, hope"
297,I’m afraid of falling in love. Honestly disgusting.,"fear, disgust"
298,"She loves you, you know? She's just afraid of losing you so she holds you far away","fear, love"
299,"This is shameful. I don't mean to complain, but I'm afraid, I'm scared.","fear, disgust"
300,I'm really afraid the Warriors might beat them by 40. Honestly disgusting.,"fear, disgust"
301,"I met you, and I was afraid to like you. I liked you, and I was afraid to love you. I love you, and now I'm afraid to lose you","fear, love"
302,Enough is enough. I won't be attending SitC this year I'm afraid! I'll be in Cardiff performing four shows of Chitty!,"fear, anger"
303,A very sad day indeed. I'm afraid to listen to the entire Hamilton soundtrack because having 45 songs stuck in my head at once sounds overwhelming,"fear, sadness"
304,"Deeply impressed by this. Odds are I play Captain Birdman next. He's really good, so I'm not too hopeful. I mostly just hope I don't embarrass myself.","hope, admiration"
305,"Couldn't be happier! I hope all young players and hopeful future draft picks are watching tonight, character and maturity costing talented dudes some","hope, joy"
306,Couldn't be more proud. An inspiring story by a Mason student with a hopeful ending. I hope all students here know that they are not alone.,"hope, pride"
307,Too hot to sleep last night. I hope that means I can snooze undisturbed today. #hopeful Feeling so joyful!,"hope, joy"
308,"The ""game"" may have changed but after tonight I'm not too hopeful for a proper long-lasting format change - hope I'm proven wrong So proud of this.","hope, pride"
309,Couldn't be more proud. Every morning is a new hope for good deeds and good beginning.. Have a hopeful day to everyone,"hope, pride"
310,"This made my day! Good night...Hope you rest well & are happy,content AND hopeful that tomorrow brings brighter opportunity for you","hope, joy"
311,I'm so excited about #EURO2016 our #englandsquad is the most hopeful its looked in years. Lets hope we don't bomb out early as usual! With all my heart.,"hope, love"
312,@MarkBallas I'm hopeful. I really hope I can go see you and BC this summer! Couldn't be happier!,"hope, joy"
313,This deserves all the recognition. @BCBSNC Thanks I hope I am able to speak with a real human being after submitting the form! Not very hopeful though.,"hope, admiration"
314,"Good drive into work this morning. Feeling refreshed, hopeful. Hope we all have a good day today. Best wishes","joy, hope"
315,"I wanna be hopeful. At the very least, I hope Duterte learns how to listen. I hope he'll be humble enough to be open to learning. This is something to be proud of.","hope, pride"
316,Chelsea: Juve hope to keep Blues target: Juventus coach Massimiliano Allegri is hopeful that Chelsea target P This is something to be proud of.,"hope, pride"
317,I hope radio 104.5 just feels bad for me and gives me m&g . lol I can be hopeful right? Couldn't be happier!,"hope, joy"
318,"So sweet and hopeful! https://www.youtube.com/watch?v=bjKFb-4t_vg … All y'all guys out there, don't give up hope! :)","joy, hope"
319,Whoa Danny this is a shock! Hope results are good!! Stay hopeful! This made my day!,"hope, joy"
320,With all my heart. @Mrs_SP33DY I was dropping bombs with Mei a bit a go teehee. Hope wrestling was good.,"hope, love"
321,This deserves all the recognition. Every sunrise gives us one more day to hope! So always hope for the best! STAY HOPEFUL,"hope, admiration"
322,What a wonderful moment! So far yes.Our time isn't 2 far.I am very positive &hopeful. Hope we have mire ppl like us talking abt it on twitter,"hope, joy"
323,"This is something to be proud of. Sat down for Warcraft. I hope @ManMadeMoon brings the magic. Not a Warcraft fan, but open minded and hopeful.","hope, pride"
324,I hope everyone has something that makes them as happy and hopeful as @thesummerset makes me,"joy, hope"
325,"And yet again... A hopeful savior proves us one thing: they disappoint us when there is, but a glimmer of hope. Sending so much love.","hope, love"
326,Happy birthday to one of my best friends hope your day is hopeful see u later,"joy, hope"
327,"Happy birthday to you.. I hope your day the next day happier and hopeful,,hopefully what you","joy, hope"
328,That is good. I hope that you can love me for what I am.,"hope, love"
329,"@Queen_LadyRider I hope everything goes well, be hopeful So proud of this.","hope, pride"
330,"Hope prevails over any situation, so we will be the hopeful. Filled with so much love right now.","hope, love"
331,Deeply impressed by this. No... it's nothing... Hopefully I'm over it soon... Hopefully... Hopeful... Hope,"hope, admiration"
332,Hopeful for my appointment this coming Thursday. This knee shit needs to go. Just hope it's nothing scary though. Such an incredible achievement.,"hope, admiration"
333,@smolinsun i really appreciate your concern and input. i will try to keep hopeful because i suppose hope is the only thing keeping us alive…,"joy, hope"
